title,abstract,bodytext
Multimerization of HIV-1 integrase hinges on conserved SH3-docking platforms,"New anti-AIDS treatments must be continually developed in order to overcome resistance mutations including those emerging in the newest therapeutic target, the viral integrase (IN). Multimerization of IN is functionally imperative and provides a forthcoming therapeutic target. Allosteric inhibitors of IN bind to non-catalytic sites and prevent correct multimerization not only restricting viral integration but also the assembly and maturation of viral particles. Here, we report an allosteric inhibitor peptide targeting an unexploited SH3-docking platform of retroviral IN. The crystal structure of the peptide in complex with the HIV-1 IN core domain reveals a steric interference that would inhibit conserved docking of SH3-containing domain with the core domain vital for IN multimerization, providing a template for the development of novel anti-IN allosteric inhibitors.","In the absence of a curative treatment, the highly active antiretroviral therapy (HAART) keeps the HIV-1 virus of AIDS patients under control. HAART combines drugs targeting different stages of viral replication including the integration step catalyzed by the integrase protein (IN) (1) . Integration of viral DNA into host genome involves two steps catalyzed by IN: (i) cleavage of a dinucleotide from each 3'-end of the viral DNA (3'processing), and (ii) insertion of this processed viral DNA into the host DNA (strand-transfer) (2) . Clinical IN strand transfer inhibitors (INSTIs) target the catalytic site of the enzyme to specifically inhibit the DNA joining reaction, however, as with all anti-AIDS treatments, the continued success of these drugs is persistently disrupted by resistance mutations (1, 2) . Although 3'-processing can be carried out by monomeric IN (3) , the assembly of IN functional multimers is imperative for the strand-transfer activity (4) (5) (6) (7) (8) , and for virus particle maturation and production (reviewed in (9, 10) ). In the continued quest to identify and develop new drugs, allosteric inhibitors that bind sites outside the catalytic core and disrupt IN multimerization are emerging with potent therapeutic potential (11) (12) (13) (14) ."
Time-varying transmission dynamics of Novel Coronavirus Pneumonia in China At a Glance Commentary Scientific Knowledge on the Subject: Since,"Rationale: Several studies have estimated basic production number of novel coronavirus pneumonia (NCP). However, the time-varying transmission dynamics of NCP during the outbreak remain unclear. Objectives: We aimed to estimate the basic and time-varying transmission dynamics of NCP across China, and compared them with SARS. Methods: Data on NCP cases by February 7, 2020 were collected from epidemiological investigations or official websites. Data on severe acute respiratory syndrome (SARS) cases in Guangdong Province, Beijing and Hong Kong during 2002-2003 were also obtained. We estimated the doubling time, basic reproduction number (R0) and time-varying reproduction number (Rt) of NCP and SARS. Measurements and main results: As of February 7, 2020, 34,598 NCP cases were identified in China, and daily confirmed cases decreased after February 4. The doubling time of NCP nationwide was 2.4 days which was shorter than that of SARS in Guangdong (14.3 days), Hong Kong (5.7 days) and Beijing (12.4 days). The R0 of NCP cases nationwide and in Wuhan were 4.5 and 4.4 respectively, which were higher than R0 of SARS in Guangdong (R0=2.3), Hongkong (R0=2.3), and Beijing (R0=2.6). The Rt for NCP continuously decreased especially after January 16 nationwide and in Wuhan. The R0 for secondary NCP cases in Guangdong was 0.6, and the Rt values were less than 1 during the epidemic.","Eighteen years ago, severe acute respiratory syndrome (SARS) broke out globally, which caused more than 8000 cases with a fatality rate of 9.6% (1). Since December 2019, a pneumonia infection with 2019-nCoV, which was now named as Novel Coronavirus Pneumonia (NCP), broke out in Wuhan, Hubei Province, China, and rapidly spread throughout China and to many other countries (2) (3) (4) . As of February 9, 2020, 2019-nCoV had transmitted to 34 provinces, regions and municipal cities across China. A total of 40,235 confirmed NCP cases with 908 deaths (2.3%) and 6,484 (16.1%) critically ill cases, and there were still 23,589 suspected cases (5) ."
p53 is not necessary for DUX4 pathology,"Summary Statement: DUX4 is thought to mediate cytopathology through p53. Here, DUX4 is shown to kill primary myoblasts and promote pathological phenotypes in the iDUX4[2.7] mouse model on the p53-null background, calling into question this notion.","Facioscapulohumeral muscular dystrophy (FSHD) affects over 25,000 people in the U.S. alone, making it one of the most prevalent genetic diseases. The genetic mutation underlying FSHD is usually a reduction in the copy number of a macrosatellite repeat on chromosome 4 referred to as D4Z4 (van Deutekom et al. 1993; Wijmenga et al. 1992 ). This repeat is GC-rich, highly methylated, and normally subjected to repeat-induced silencing, which is disrupted in an allelespecific manner by contractions to 10 or fewer copies (van Overveld et al. 2003) or on all D4Z4 repeats by mutation in the chromatin protein SMCHD1 (de Greef et al. 2009; Hartweck et al. 2013 ; Lemmers et al. 2012) . When silencing at D4Z4 breaks down, an RNA transcript encoding the DUX4 protein (Gabriels et al. 1999 ) is expressed. The presence of a poly(A) signal downstream of the D4Z4 repeats on chr4 (Dixit et al. 2007 ) leads to DUX4 expression and explains why disease is associated only with contractions of the D4Z4 repeats on chr4, and only on specific 4qter alleles, so called permissive alleles, which harbor the poly(A) signal (Lemmers et al. 2010; Lemmers et al. 2004 ). The DUX4 protein has been observed by immunostaining of cultured FSHD myoblasts which show infrequent, possibly episodic, expression (Jones et al. 2012; Snider et al. 2010 ) and differentiated myotubes which show more prevalent expression (Block et al. 2013; Rickard, Petek and Miller 2015) ."
Virological assessment of hospitalized cases of coronavirus disease 2019 *equal contribution **senior authors with equal contribution,"emerged in late 2019 1,2 . Initial outbreaks in China involved 13.8% cases with severe-, and 6.1% with critical courses 3 . This severe presentation corresponds to the usage of a virus receptor that is expressed predominantly in the lung 2,4 . By causing an early onset of severe symptoms, this same receptor tropism is thought to have determined pathogenicity but also aided the control of severe acute respiratory syndrome (SARS) in 2003 5 . However, there are reports of COVID-19 cases with mild upper respiratory tract symptoms, suggesting a potential for pre-or oligosymptomatic transmission 6-8 .","Pharyngeal virus shedding was very high during the first week of symptoms (peak at 7.11 X 10 8 RNA copies per throat swab, day 4). Infectious virus was readily isolated from throat-and lung-derived samples, but not from stool samples in spite of high virus RNA concentration. Blood and urine never yielded virus. Active replication in the throat was confirmed by viral replicative RNA intermediates in throat samples. Sequence-distinct virus populations were consistently detected in throat-and lung samples of one same patient. Shedding of viral RNA from sputum outlasted the end of symptoms. Seroconversion occurred after 6-12 days, but was not followed by a rapid decline of viral loads. COVID-19 can present as a mild upper respiratory tract illness."
Potential impact of seasonal forcing on a SARS-CoV-2 pandemic,"A novel coronavirus (SARS-CoV-2) first detected in Wuhan, China, has spread rapidly since December 2019, causing more than 80,000 confirmed infections and 2,700 fatalities (as of Feb 27, 2020). Imported cases and transmission clusters of various sizes have been reported globally suggesting a pandemic is likely. Here, we explore how seasonal variation in transmissibility could modulate a SARS-CoV-2 pandemic. Data from routine diagnostics show a strong and consistent seasonal variation of the four endemic coronaviruses (229E, HKU1, NL63, OC43) and we parameterize our model for SARS-CoV-2 using these data. The model allows for many subpopulations of different size with variable parameters. Simulations of different scenarios show that plausible parameters result in a small peak in early 2020 in temperate regions of the Northern Hemisphere and a larger peak in winter 2020/2021. Variation in transmission and migration rates can result in substantial variation in prevalence between regions. While the uncertainty in parameters is large, the scenarios we explore show that transient reductions in the incidence rate might be due to a combination of seasonal variation and infection control efforts but do not necessarily mean the epidemic is contained. Seasonal forcing on SARS-CoV-2 should thus be taken into account in the further monitoring of the global transmission. The likely aggregated effect of seasonal variation, infection control measures, and transmission rate variation is a prolonged pandemic wave with lower prevalence at any given time, thereby providing a window of opportunity for better preparation of health care systems.","(2.2 with 90% high density interval 1.4-3.8 (Riou and Althaus, 2020) or 2.7 with a 95% CrI of 2.47-2.86 (Wu et al., 2020) ). Higher estimates have also been reported (Sanche et al., 2020; Yang et al., 2020) . Importantly, R 0 is not a biological constant for a pathogen, but is affected by factors such as environmental conditions and the behaviour of infected individuals. One such environmental factor is climate which modulates transmissibility throughout the year. As a result, many respiratory viruses show clear seasonal variation in prevalence; the most well-known example being seasonal influenza which peaks every winter in the temperate zone of the Northern Hemisphere (Petrova and Russell, 2018) . A similar pattern is seen for the four seasonal human coronaviruses: HKU1, NL63, OC43 and 229E (hereafter collectively referred to as ""seasonal CoVs"") (Al-Khannaq et al., 2016; Friedman et al., 2018; Galanti et al., 2019; Góes et al., 2019; Huang et al., 2017; Killerby et al., 2018) . These viruses cause respiratory infections which usually are mild and primarily affect young children."
Evaluating performance of metagenomic characterization algorithms using in silico datasets generated with FASTQSim,Background 3,Background 3
Clinical Features of COVID-19-Related Liver Damage,"with rapidly increasing the number of cases (namely . Abnormal liver functions are frequently present in these patients, here we aimed to clarify the clinical features of COVID-19-related liver damage to provide some references for the clinical treatment. A total of 148 cases were analyzed for clinical features, laboratory parameters (including liver function tests), medications and the length of stay.","Since December 2019, a novel coronavirus was identified as the pathogen to cause pneumonia in Wuhan, China , which was temporarily named as 2019-nCoV by WHO. 2, 3 On 11 February 2020, based on the phylogeny, taxonomy and established practice, 2019-nCoV was officially named as SARS-CoV-2, 4 and the disease caused by SARS-CoV-2 was named as COVID-19 . 5 Evidence has proven that SARS-CoV-2 can be transmitted from person to person through respiratory droplets and close contact , posing a huge challenge on the public health. 6 Up to now, there were more than seventy thousand confirmed cases and two thousand death case in 30 countries around the world. 7 The main manifestations of SARS-CoV-2 infection include fever, dry cough, weakness, and breathing difficulty. Abnormal liver functions were frequently reported extrapulmonary clinical feature and almost one half of patients experienced different degrees of liver function damage. 8, 9 .According to the recent study of single-cell RNAseq , angiotensin converting enzyme(ACE)2 was highly expressed not only in type II alveolar epithelial cells, but also in bile duct cells. 10 Importantly, recent study confirmed that the cell entry receptor of 2019-nCoV, like SARS-CoV, is ACE2 receptor. 11 All these findings suggest that SARS-CoV-2 may infect the bile duct cells and cause the abnormal liver function in these patients. However, alkaline phosphatase (ALP), the bile duct injury related index, was not specific in COVID-19 patients . 8, 9 .A recent pathological finding reported that moderate microvascular steatosis and mild lobular and portal activity were present in liver biopsy specimens, indicating that the liver injury could be caused by either SARS-CoV-2 infection or drug-induced liver injury. 12 Currently, however, there is no any clinical research to analyze whether abnormal liver function in COVID-19 patients is due to the drugs used or not. Given the high contagious and pathogenic capacities of SARS-CoV-2 and high incidence of liver damage, an analysis with liver function in COVID patients is urgently warranted."
Network-based Drug Repurposing for Human Coronavirus,"Human Coronaviruses (HCoVs), including severe acute respiratory syndrome coronavirus (SARS-CoV), Middle east respiratory syndrome coronavirus (MERS-CoV), and 2019 novel coronavirus (2019-nCoV), lead global epidemics with high morbidity and mortality. However, there are currently no effective drugs targeting 2019-nCoV. Drug repurposing, represented as an effective drug discovery strategy from existing drugs, could shorten the time and reduce the cost compared to de novo drug discovery. In this study, we present an integrative, antiviral drug repurposing methodology implementing a systems pharmacology-based network medicine platform, quantifying the interplay between the HCoV-host interactome and drug targets in the human protein-protein interaction network. Phylogenetic analyses of 15 HCoV whole genomes reveal that 2019-nCoV has the highest nucleotide sequence identity with SARS-CoV (79.7%) among the six other known pathogenic HCoVs. Specifically, the envelope and nucleocapsid proteins of 2019-nCoV are two evolutionarily conserved regions, having the sequence identities of 96% and 89.6%, respectively, compared to SARS-CoV.","Coronaviruses (CoVs) typically affect the respiratory tract of mammals, including humans, and lead to mild to severe respiratory tract infections [1] . In the past 2 decades, two highly pathogenic human CoVs (HCoVs), including severe acute respiratory syndrome coronavirus (SARS-CoV) and Middle East respiratory syndrome coronavirus (MERS-CoV), emerging from animal reservoirs, have led to global epidemics with high morbidity and mortality [2] . For example, 8,098 individuals were infected and 774 died in the SARS-CoV pandemic, which cost the global economy with an estimated $30 to $100 billion [3, 4] . According to the World Health Organization (WHO), as of November 2019, MERS-CoV has had a total of 2,494 diagnosed cases causing 858 deaths, the majority in Saudi Arabia [2] . In December 2019, the third pathogenic HCoV, named 2019 novel coronavirus (2019-nCoV), was found in Wuhan, China. As of February 02, 2020, there have been over 14,000 cases with ~300 deaths for the 2019-nCoV pandemic (https://www.cdc.gov/coronavirus/2019-ncov/index.html); furthermore, human-to-human transmission has occurred among close contacts [5] . However, there are currently no effective medications against 2019-nCoV. Several national and international research . CC-BY-NC 4.0 International license It is made available under a author/funder, who has granted medRxiv a license to display the preprint in perpetuity."
Detectable serum SARS-CoV-2 viral load (RNAaemia) is closely associated with drastically elevated interleukin 6 (IL-6) level in critically ill COVID-19 patients,"Although the SARS-CoV-2 viral load detection of respiratory specimen has been widely used for novel coronavirus disease diagnosis, it is undeniable that serum SARS-CoV-2 nucleic acid (RNAaemia) could be detected in a fraction of the COVID-19 patients. However, it is not clear that if the incidence of RNAaemia could be correlated with the occurrence of cytokine storm or with the specific class of patients.","The novel coronavirus disease , which is caused by SARS-CoV-2 virus infection, has been called as a public health emergency of international concern by the World Health Organization (WHO) [1] [2] [3] . The disease spread rapidly from Wuhan to other areas. Compared with two other WHO blueprint priority coronaviruses, SARS-CoV and MERS-CoV, SARS-CoV-2 is lethal 4 . As of February 25, 2020, SARS-CoV-2 has led to 2663 deaths in China base on the report from National Health Commission of China."
Projecting the end of the Zika virus epidemic in Latin America: a modelling analysis,"International Concern following a cluster of associated neurological disorders and neonatal malformations. In 2017, Zika cases declined, but future incidence in LAC remains uncertain due to gaps in our understanding, considerable variation in surveillance and a lack of a comprehensive collation of data from affected countries.","Starting as early as 2013, 1 has since spread to 49 countries and territories across the Americas where autochthonous transmission has been confirmed. 3 However, 2017 saw a marked decline in reported Zika cases and its severe disease manifestations. 4 This decline has been widely attributed to the build-up of immunity against ZIKV in the wider human population, 5 although it remains unknown how many people have been infected. To date, there has been limited use of population-based surveys to determine the circulation and seroprevalence of ZIKV in LAC, owing to challenges in interpretation of serological tests that cross-react with other flaviviruses (e.g. dengue). 6, 7 In addition to the reduction in Zika cases there has also been a marked reduction in incidence of reported dengue and chikungunya cases in Brazil, meaning that the role of climatic, and other factors affecting mosquito density, or cross-immunity between arboviruses cannot be ruled out."
