title,abstract,bodytext
Xanthine-based acyclic nucleoside phosphonates with potent antiviral activity against varicella-zoster virus and human cytomegalovirus,"While noncanonic xanthine nucleotides XMP/dXMP play an important role in balancing and maintaining intracellular purine nucleotide pool as well as in potential mutagenesis, surprisingly, acyclic nucleoside phosphonates bearing a xanthine nucleobase have not been studied so far for their antiviral properties. Herein, we report the synthesis of a series of xanthine-based acyclic nucleoside phosphonates and evaluation of their activity against a wide range of DNA and RNA viruses. Two acyclic nucleoside phosphonates within the series, namely 9-[2-(phosphonomethoxy)ethyl]xanthine (PMEX) and 9-[3-hydroxy-2-(phosphonomethoxy)propyl]xanthine (HPMPX), were shown to possess activity against several human herpesviruses. The most potent compound was PMEX, a xanthine analogue of adefovir (PMEA). PMEX exhibited a single digit mM activity against VZV (EC 50 ¼ 2.6 mM, TK þ Oka strain) and HCMV (EC 50 ¼ 8.5 mM, Davis strain), while its hexadecyloxypropyl monoester derivative was active against HSV-1 and HSV-2 (EC 50 values between 1.8 and 4.0 mM). In contrast to acyclovir, PMEX remained active against the TK -VZV 07-1 strain with EC 50 ¼ 4.58 mM. PMEX was suggested to act as an inhibitor of viral DNA polymerase and represents the first reported xanthine-based acyclic nucleoside phosphonate with potent antiviral properties.","The concentration and ratio of purine nucleotides and deoxynucleotides in the nucleotide pool is highly regulated in order to maintain the proper function and genetic stability of mammalian cells. 1 Imbalances in (deoxy)nucleotide pool may have mutagenic consequences 2 and may lead to various diseases, such as combined immunodeficiency (loss of purine nucleoside phosphorylase (PNP) function), 3 hyperuricemia (loss of hypoxanthine-guanine phosphoribosyltransferase (HGPRT) function) 4 or cancer (uncontrollable activity of inosine-5 0 -monophosphate dehydrogenase, IMPDH). 5 Xanthosine monophosphate (XMP, 1, Figure 1 ) is an important intermediate in the de novo synthesis of guanine nucleotides and its concentration is essential for the maintenance of guanine nucleotide pool, 6 where XMP serves as a substrate for guanosine monophosphate synthase, 7 that produces guanosine monophosphate (GMP). XMP is formed either from inosine monophosphate (IMP) by IMPDH or via salvage pathway using hypoxanthine or xanthine phosphoribosyltransferase. The XMP level is regulated by 5 0 -nucleotidase that hydrolyzes XMP to xanthosine."
"Phone: (1) 301-451-9881, jbeigel@niaid.nih.gov",on behalf of the IRC002 Study Team Summary Background-Influenza causes significant morbidity and mortality despite currently available treatments. Anecdotal reports suggest plasma with high antibody titers towards influenza may be of benefit in the treatment of severe influenza.,"Pandemic influenza remains a global health threat. In the setting of an outbreak, there is a need for new countermeasures that can be rapidly implemented. Plasma therapy has been used experimentally for the last 100 years to treat severe infectious diseases beginning with diphtheria in the 1890's, Spanish flu of 1917-1918, and severe acute respiratory syndrome (SARS) in 2003, Middle East respiratory syndrome (MERS), and most recently, the Ebola epidemic in West Africa. A meta-analysis of 8 non-randomized studies using convalescent blood products during the 1918 influenza pandemic calculated a case-fatality rate of 16% among 336 treated participants compared to 37% among 1219 controls. [1] A cohort study of 93 participants with severe H1N1 influenza demonstrated lower mortality in the treatment group receiving H1N1 convalescent plasma vs the control group (20·0% vs. 54·8%; P = .01), [2] although mortality in the control group was higher than expected for comparable severity of illness. [3] [4] [5] [6] Despite these encouraging data, no randomized controlled trial (RCT) of immune plasma for severe influenza has ever been conducted. In an effort to more rigorously evaluate the role of immune plasma in the treatment of severe influenza we conducted a RCT in a non-pandemic setting in participants with respiratory compromise due to influenza."
A Strategy To Estimate Unknown Viral Diversity in Mammals,"The majority of emerging zoonoses originate in wildlife, and many are caused by viruses. However, there are no rigorous estimates of total viral diversity (here termed ""virodiversity"") for any wildlife species, despite the utility of this to future surveillance and control of emerging zoonoses. In this case study, we repeatedly sampled a mammalian wildlife host known to harbor emerging zoonotic pathogens (the Indian Flying Fox, Pteropus giganteus) and used PCR with degenerate viral family-level primers to discover and analyze the occurrence patterns of 55 viruses from nine viral families. We then adapted statistical techniques used to estimate biodiversity in vertebrates and plants and estimated the total viral richness of these nine families in P. giganteus to be 58 viruses. Our analyses demonstrate proof-of-concept of a strategy for estimating viral richness and provide the first statistically supported estimate of the number of undiscovered viruses in a mammalian host. We used a simple extrapolation to estimate that there are a minimum of 320,000 mammalian viruses awaiting discovery within these nine families, assuming all species harbor a similar number of viruses, with minimal turnover between host species. We estimate the cost of discovering these viruses to be~$6.3 billion (or~$1.4 billion for 85% of the total diversity), which if annualized over a 10-year study time frame would represent a small fraction of the cost of many pandemic zoonoses. IMPORTANCE Recent years have seen a dramatic increase in viral discovery efforts. However, most lack rigorous systematic design, which limits our ability to understand viral diversity and its ecological drivers and reduces their value to public health intervention. Here, we present a new framework for the discovery of novel viruses in wildlife and use it to make the first-ever estimate of the number of viruses that exist in a mammalian host. As pathogens continue to emerge from wildlife, this estimate allows us to put preliminary bounds around the potential size of the total zoonotic pool and facilitates a better understanding of where best to allocate resources for the subsequent discovery of global viral diversity. Lipkin WI. 2013 . A strategy to estimate unknown viral diversity in mammals. mBio 4(5): e00598-13.","A total of 12,793 consensus PCR assays were performed for the detection of viruses from nine different families/ genera, including coronaviruses (CoVs; n ϭ 1,631), paramyxoviruses (PMVs; n ϭ 1,108), hantaviruses (HTVs; n ϭ 1,108), astroviruses (AstVs; n ϭ 1,348), influenza A viruses (IFAVs; n ϭ 1,108), bocaviruses (BoVs; n ϭ 1,739), adenoviruses (AdVs; n ϭ 1,902), herpesviruses (HVs; n ϭ 1,741), and polyomaviruses (PyVs; n ϭ 1,108) ( Table 1) . None of the samples were positive for IFAVs or HTVs, despite previous studies documenting their presence in other bat species (6) (7) (8) ; however, a total of 985 viral sequences representing the other seven viral families were detected in these bats. These sequences were segregated into 55 discrete viruses based on distinct monophyletic clustering (see Materials and Methods) ( Table 1) , and a virus was considered novel if the sequence identity to its closest relative was less than or equal to the identity between the two closest species for a given viral family (9) ."
Pathogenic Influenza Viruses and Coronaviruses Utilize Similar and Contrasting Approaches To Control Interferon-Stimulated Gene Responses,"The broad range and diversity of interferon-stimulated genes (ISGs) function to induce an antiviral state within the host, impeding viral pathogenesis. While successful respiratory viruses overcome individual ISG effectors, analysis of the global ISG response and subsequent viral antagonism has yet to be examined. Employing models of the human airway, transcriptomics and proteomics datasets were used to compare ISG response patterns following highly pathogenic H5N1 avian influenza (HPAI)","stimulation, and overall lethality (4) . Together, the similarities and differences offer an opportunity to identify both conserved and pathogen-specific host responses important during respiratory virus infection."
The Dynamic Nature of the Golgi Complex,The intracellular transport of newly synthe-,"sized G protein of vesicular stomatitis virus is blocked at 200C and this spanning membrane glycoprotein accumulates in the last Golgi compartment, the trans Golgi-network (TGN). Previous morphological evidence suggested that the TGN enlarged significantly under this condition. In the present study we have used stereological procedures to estimate the volume and surface area of the Golgi stack and the TGN of baby hamster kidney cells under different conditions. The results indicate that the increase in the size of the TGN at 20°C is accompanied by a significant decrease in the surface area and volume of the preceding Golgi compartments. A similar effect is also seen in uninfected cells at 20°C, as well as during normal (37°C) infection with Semliki Forest virus. In the latter case, however, the decrease in the size of the Golgi stack and the increase in that of the TGN is not accompanied by inhibition of transport from the Golgi complex to the cell surface. The results indicate that the Golgi stack and the TGN are dynamic and interrelated structures that are capable of rapid alteration in total surface area in response to changes in the rates of membrane transport."
Nonstructural proteins NS7b and NS8 are likely to be phylogenetically associated with evolution of 2019-nCoV,"The seventh novel human infecting Betacoronavirus that causes pneumonia (2019 novel coronavirus, 2019-nCoV) originated in Wuhan, China. The evolutionary relationship between 2019-nCoV and the other human respiratory illness-causing coronavirus is not closely related. We sought to characterize the relationship of the translated proteins of 2019-nCoV with other species of Orthocoronavirinae. A phylogenetic tree was constructed from the genome sequences. A cluster tree was developed from the profiles retrieved from the presence and absence of homologs of ten 2019-nCoV proteins. The combined data were used to characterize the relationship of the translated proteins of 2019-nCoV to other species of Orthocoronavirinae. Our analysis reliably suggests that 2019-nCoV is most closely related to BatCoV RaTG13 and belongs to subgenus Sarbecovirus of Betacoronavirus, together with SARS coronavirus and Bat-SARS-like coronavirus. The phylogenetic profiling cluster of homolog proteins of one annotated 2019-nCoV protein against other genome sequences revealed two clades of ten 2019-nCoV proteins. Clade 1 consisted of a group of conserved proteins in Orthocoronavirinae comprising Orf1ab polyprotein, Nucleocapsid protein, Spike glycoprotein, and Membrane protein. Clade 2 comprised six proteins exclusive to Sarbecovirus and Hibecovirus. Two of six Clade 2 nonstructural proteins, NS7b and NS8, were exclusively conserved among 2019-nCoV, BetaCoV_RaTG, and BatSARS-like Cov. NS7b and NS8 have previously been shown to affect immune response signaling in the SARS-CoV experimental model. Thus, we speculated that knowledge of the functional changes in the NS7b and NS8 proteins during evolution may provide important information to explore the human infective property of 2019-nCoV.","In December 2019, the seventh human coronavirus, termed 2019 novel coronavirus (2019-nCoV) or severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), was found in Wuhan, China. On February 8, 2020, the total number of infections and deaths due to 2019-nCoV globally was 34,439 and 720, respectively, according to the Johns Hopkins University Center for Systems Science and Engineering."
Identification of novel multitargeted PPARα/γ/δ pan agonists by core hopping of rosiglitazone,"Drug Design, Development and Therapy Dovepress submit your manuscript | www.dovepress.com Dovepress 2255 O r i g i n a l r e s e a r c h open access to scientific and medical research Open access Full Text article http://dx.","Peroxisome proliferator-activated receptors (PPARs) are nuclear ligand-activated transcription factors and include three subtypes, namely PPARα, PPARγ, and PPARδ. [1] [2] [3] The drugs targeting PPARs mainly include: 1) PPARγ agonists 4 such as rosiglitazone and pioglitazone, which are used as antidiabetic drugs and also possess anti-inflammatory or antineoplastic activities, 5, 6 and 2) PPARα agonists such as fenofibrate and bezafibrate, which are used as antilipemic drugs ( Figure 1 ). 7, 8 Rosiglitazone and pioglitazone have shown side effects in clinical use, such as liver function abnormity, edema, and weight gain. 9 Especially in 2007, Nissen and Wolski 10 reported the cardiac safety of rosiglitazone, which showed that singly selective agonism of PPARγ not only enhanced insulin sensitivity and the therapeutic effect of insulin metabolism but also caused edema, weight gain, and the potential risk of heart failure."
"First human case of avian influenza A (H5N6) in Yunnan province, China 596484S Case Report","Objective: To report clinical, virological, and epidemiological features of the first death caused by a H5N6 avian influenza virus in Yunnan Province, China. Method: The case was described in clinical expression, chest radiography, blood test and treatment. Real-time RT-PCR was used to detect H5N6 virus RNA in clinical and environment samples. Epidemiological investigation was performed including case exposure history determinant, close contacts follow up, and environment sample collection. Results: The patient initially developed sore throat and coughs on 27 January 2015. The disease progressed to severe pneumonia, multiple organ dysfunction syndrome, and acute respiratory distress syndrome. And the patient died on 6 February. A highly pathogenic avian influenza A H5N6 virus was isolated from the tracheal aspirate specimen of the patient. The viral genome analyses revealed that the H5 hemmagglutinin gene belongs to 2.3.4.4 clade. Epidemiological investigation showed that the patient had exposure to wild bird. All close contacts of the patient did not present the same disease in seven consecutive days. A high H5 positive rate was detected in environmental samples from local live poultry markets.","Highly pathogenic avian influenza (HPAI) H5 hemmagglutinin (HA) combining different neuraminidase (NA) subtype (N1, N2, N5, N6, N8) has been observed in poultries worldwide. 1 Moreover, the H5N6 virus has caused three human infections in mainland China. 2 The first case was a man from Sichuan province in May 2014, followed by another male severe case from Guangzhou province in December 2014. On 8 February 2015, the third human H5N6 infection was reported from Yunnan province. However, detailed descriptions of human infection with H5N6 were absent. We herein summarize the preliminary findings of the H5N6 infection case from Yunnan province."
"Hiroshi OHNO 4) , Kazuhiko SATO 5","Bovine viral diarrhea (BVD) is a chronic disease of cattle caused by infection with BVD virus (BVDV) and can result in economic losses within the livestock industry. In Japan, the test and culling policy is a basic control measure, and implementation of an adequate vaccination program is recommended as a national policy. In addition, optional control measures, including compulsory testing of introduced animals and bulk tank milk (BTM) testing as a mass screening method, are used in several provinces, but their efficacy has not been completely assessed. We evaluated these control measures using the scenario tree model of BVD in Japan, developed in the previous study. The model outputs indicated that compulsory testing of all introduced cattle, rather than only heifers and/or non-vaccinated cattle, was cost effective and reduced the risk of BVDV introduction due to animal movement and that BTM testing could effectively monitor most part of the cattle population. Vaccination coverage and BVDV prevalence among introduced cattle could also affect the cost effectiveness of compulsory testing of targeted cattle, particularly under low vaccination coverage or high BVDV prevalence. However, even with the implementation of a highly effective monitoring scheme for many years, BVD risk could not be eliminated; it instead converged at a very low level (0.02%). Disease models with a cost-effective output could be a powerful tool in developing a control scheme for chronic animal diseases, including BVD, with the consent of relevant stakeholders.","Bovine viral diarrhea (BVD) is a chronic disease of cattle globally distributed, caused by infection with bovine viral diarrhea virus (BVDV), and results in economic losses to the livestock industry [6, 13-15, 24, 41] . Transient infection (TI) of BVDV in adult ruminants produces subclinical or non-severe symptoms [5, 26] ; however, BVDV can be transmitted to the fetus of pregnant cattle between 30 and 120 days of gestation, thereby inducing fetal immune tolerance to BVDV and resulting in the delivery of persistently infected (PI) calves [23] . PI calves shed BVDVs through oculonasal discharge and other secretions throughout their lives, without showing any apparent clinical manifestations, except fatal mucosal disease [4, 7] . PI cattle are commonly believed to be the primary source of BVDV infection in a herd [15, 27] . Therefore, PI cattle need to be promptly detected and culled for the control of BVD [1] ."
"Lobeglitazone, a Novel Thiazolidinedione, Improves Non- Alcoholic Fatty Liver Disease in Type 2 Diabetes: Its Efficacy and Predictive Factors Related to Responsiveness","Despite the rapidly increasing prevalence of non-alcoholic fatty liver disease (NAFLD) in type 2 diabetes (T2D), few treatment modalities are currently available. We investigated the hepatic effects of the novel thiazolidinedione (TZDs), lobeglitazone (Duvie) in T2D patients with NAFLD. We recruited drug-naïve or metformin-treated T2D patients with NAFLD to conduct a multicenter, prospective, open-label, exploratory clinical trial. Transient liver elastography (Fibroscan®; Echosens, Paris, France) with controlled attenuation parameter (CAP) was used to non-invasively quantify hepatic fat contents. Fifty patients with CAP values above 250 dB/m were treated once daily with 0.5 mg lobeglitazone for 24 weeks. The primary endpoint was a decline in CAP values, and secondary endpoints included changes in components of glycemic, lipid, and liver profiles. Lobeglitazone-treated patients showed significantly decreased CAP values (313.4 dB/m at baseline vs. 297.8 dB/m at 24 weeks; P = 0.016), regardless of glycemic control. Lobeglitazone improved HbA1C values (7.41% [57.5 mM/M] vs. 6.56% [48.2 mM/M]; P < 0.001), as well as the lipid and liver profiles of the treated patients. Moreover, multivariable linear regression analysis showed that hepatic fat reduction by lobeglitazone was independently associated with baseline values of CAP, liver stiffness, and liver enzymes, and metformin use. Lobeglitazone treatment reduced intrahepatic fat content, as assessed by transient liver elastography, and improved glycemic, liver, and lipid profiles in T2D patients with NAFLD. Further randomized controlled trials using liver histology as an end point are necessary to evaluate the efficacy of lobeglitazone for NAFLD treatment (Clinical trial No. NCT02285205).","Obesity is a worldwide epidemic that leads to the development of chronic metabolic disorders, such as type 2 diabetes (T2D), cardiovascular disease, and non-alcoholic fatty liver disease (NALFD) (1) (2) (3) . NAFLD is a condition where fat, mainly triglycerides (TG), accumulates in the hepatocytes of patients who have not consumed excessive amounts of alcohol (4) . Estimates of the prevalence of NAFLD range from 6.3% to 33%, depending on the population (5, 6) , and are expected to rise as obesity rates increase, populations become older, and physical activity levels decrease (4) . Moreover, there is an increased prevalence of NAFLD in T2D patients (7) , and its severity may be aggravated by T2D (8, 9) . However, beyond epidemiology, there are many challenges in the diagnosis and treatment of NAFLD."
